Instante de Tempo   ,Fila de pedidos                                   ,Em produção         ,Prontos                                           
80                  ,49812 94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,82728               ,26827 29795 53922                                 
81                  ,49812 94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,82728               ,26827 29795 53922                                 
82                  ,49812 94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,82728               ,26827 29795 53922                                 
83                  ,49812 94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,82728               ,26827 29795 53922                                 
84                  ,49812 94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,82728               ,26827 29795 53922                                 
85                  ,49812 94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,82728               ,26827 29795 53922                                 
86                  ,49812 94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,82728               ,26827 29795 53922                                 
87                  ,49812 94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,82728               ,26827 29795 53922                                 
88                  ,49812 94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,82728               ,26827 29795 53922                                 
89                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
90                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
91                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
92                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
93                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
94                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
95                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
96                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
97                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
98                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
99                  ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
100                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
101                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
102                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
103                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
104                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
105                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
106                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
107                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
108                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
109                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
110                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
111                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
112                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
113                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
114                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
115                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
116                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
117                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
118                 ,94493 42129 64546 54613 41859 89208 93084 31761 51429 64885,49812               ,26827 29795 53922 82728                           
119                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
120                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
121                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
122                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
123                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
124                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
125                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
126                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
127                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
128                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
129                 ,42129 64546 54613 41859 89208 93084 31761 51429 64885,94493               ,26827 29795 49812 53922 82728                     
